Year|Day|Title|Desc|Url
2015|1|Not Quite Lisp|Santa was hoping for a white Christmas, but his weather machine's "snow" function is powered by stars, and he's fresh out!|https://adventofcode.com/2015/day/1
2015|2|I Was Told There Would Be No Math|The elves are running low on wrapping paper, and so they need to submit an order for more.|https://adventofcode.com/2015/day/2
2015|3|Perfectly Spherical Houses in a Vacuum|Santa is delivering presents to an infinite two-dimensional grid of houses.|https://adventofcode.com/2015/day/3
2015|4|The Ideal Stocking Stuffer|Santa needs help mining some AdventCoins (very similar to bitcoins) to use as gifts for all the economically forward-thinking little girls and boys.|https://adventofcode.com/2015/day/4
2015|5|Doesn't He Have Intern-Elves For This?|Santa needs help figuring out which strings in his text file are naughty or nice.|https://adventofcode.com/2015/day/5
2015|6|Probably a Fire Hazard|Because your neighbors keep defeating you in the holiday house decorating contest year after year, you've decided to deploy one million lights in a 1000x1000 grid.|https://adventofcode.com/2015/day/6
2015|7|Some Assembly Required|This year, Santa brought little Bobby Tables a set of wires and bitwise logic gates!|https://adventofcode.com/2015/day/7
2015|8|Matchsticks|Space on the sleigh is limited this year, and so Santa will be bringing his list as a digital copy.|https://adventofcode.com/2015/day/8
2015|9|All in a Single Night|Every year, Santa manages to deliver all of his presents in a single night.|https://adventofcode.com/2015/day/9
2015|10|Elves Look, Elves Say|Today, the Elves are playing a game called look-and-say.|https://adventofcode.com/2015/day/10
2015|11|Corporate Policy|Santa's previous password expired, and he needs help choosing a new one.|https://adventofcode.com/2015/day/11
2015|12|JSAbacusFramework.io|Santa's Accounting-Elves need help balancing the books after a recent order.|https://adventofcode.com/2015/day/12
2015|13|Knights of the Dinner Table|In years past, the holiday feast with your family hasn't gone so well.|https://adventofcode.com/2015/day/13
2015|14|Reindeer Olympics|This year is the Reindeer Olympics!|https://adventofcode.com/2015/day/14
2015|15|Science for Hungry People|Today, you set out on the task of perfecting your milk-dunking cookie recipe.|https://adventofcode.com/2015/day/15
2015|16|Aunt Sue|Your Aunt Sue has given you a wonderful gift, and you'd like to send her a thank you card.|https://adventofcode.com/2015/day/16
2015|17|No Such Thing as Too Much|The elves bought too much eggnog again - 150 liters this time.|https://adventofcode.com/2015/day/17
2015|18|Like a GIF For Your Yard|After the million lights incident, the fire code has gotten stricter: now, at most ten thousand lights are allowed.|https://adventofcode.com/2015/day/18
2015|19|Medicine for Rudolph|Rudolph the Red-Nosed Reindeer is sick!|https://adventofcode.com/2015/day/19
2015|20|Infinite Elves and Infinite Houses|To keep the Elves busy, Santa has them deliver some presents by hand, door-to-door.|https://adventofcode.com/2015/day/20
2015|21|RPG Simulator 20XX|Little Henry Case got a new video game for Christmas.|https://adventofcode.com/2015/day/21
2015|22|Wizard Simulator 20XX|Little Henry Case decides that defeating bosses with swords and stuff is boring.|https://adventofcode.com/2015/day/22
2015|23|Opening the Turing Lock|Little Jane Marie just got her very first computer for Christmas from some unknown benefactor.|https://adventofcode.com/2015/day/23
2015|24|It Hangs in the Balance|It's Christmas Eve, and Santa is loading up the sleigh for this year's deliveries.|https://adventofcode.com/2015/day/24
2015|25|Let It Snow|Merry Christmas!|https://adventofcode.com/2015/day/25
2016|1|No Time for a Taxicab|Santa's sleigh uses a very high-precision clock to guide its movements, and the clock's oscillator is regulated by stars.|https://adventofcode.com/2016/day/1
